Id;Name;Lat;Lon;Alt;LongName;ShortName;Zone;Desc;OldCode;Resol40;Clim
07255;BOURGES;47.059167;2.359833;161;Bourges;Bourges;Cher;bourges;;1;C
07280;DIJON-LONGVIC;47.267833;5.088333;219;Dijon-Longvic;Dijon;'Côte-d''Or';dijon-longvic;;1;NE
07299;BALE-MULHOUSE;47.614333;7.510000;263;Bâle-Mulhouse;Bale;Haut-Rhin;bale-mulhouse;;1;NE
07314;PTE DE CHASSIRON;46.046833;-1.411500;11;Pointe de Chassiron;Pte-Chassiron;Charente-Maritime;pointe-de-chassiron;;1;SW
07335;POITIERS-BIARD;46.593833;0.314333;123;Poitiers-Biard;Poitiers;Vienne;poitiers-biard;poiti;1;NW
07434;LIMOGES-BELLEGARDE;45.861167;1.175000;402;Limoges-Bellegarde;Limoges;Haute-Vienne;limoges-bellegarde;;1;SW
07460;CLERMONT-FD;45.786833;3.149333;331;Clermond-Ferrand;Clermont-Fd;Puy-de-Dôme;clermont-ferrand-aulnat;clfer;1;C
07471;LE PUY-LOUDES;45.074500;3.764000;833;Le Puy-Loudes;Le-Puy;Haute-Loire;le-puy-loudes;lepuy;1;Mont
07481;LYON-ST EXUPERY;45.726500;5.077833;235;Lyon-Saint-Exupéry;Lyon;Rhône;lyon-st-exupery;;1;NE
07510;BORDEAUX-MERIGNAC;44.830667;-0.691333;47;Bordeaux-Mérignac;Bordeaux;Gironde;bordeaux-merignac;borde;1;SW
07535;GOURDON;44.745000;1.396667;260;Gourdon;Gourdon;Lot;gourdon;gourd;1;SW
07558;MILLAU;44.118500;3.019500;712;Millau;Millau;Aveyron;millau;;1;Mont
07577;MONTELIMAR;44.581167;4.733000;73;Montélimar;Montelimar;Drôme;montelimar-ancone;mteli;1;Med
07591;EMBRUN;44.565667;6.502333;871;Embrun;Embrun;Hautes-Alpes;embrun;embru;1;Mont
07607;MONT-DE-MARSAN;43.909833;-0.500167;59;Mont-de-Marsan;Mt-Marsan;Landes;mont-de-marsan;;1;SW
07621;TARBES-OSSUN;43.188000;0.000000;360;Tarbes-Ossun;Tarbes;Hautes-Pyrénées;tarbes-ossun-lourdes;;1;SW
07627;ST GIRONS;43.005333;1.106833;414;Saint-Girons;St-Girons;Ariège;saint-girons-antichan;ssgir;1;Mont
07630;TOULOUSE-BLAGNAC;43.621000;1.378833;151;Toulouse-Blagnac;Toulouse;Haute-Garonne;toulouse-blagnac;toulo;1;Med
07643;MONTPELLIER;43.577000;3.963167;2;Montpellier;Montpellier;Hérault;montpellier-frejorgues;;1;Med
07650;MARIGNANE;43.437667;5.216000;9;Marignane;Marignane;Bouches-du-Rhône;marseille-marignane-marseille-provence;;1;Med
07661;CAP CEPET;43.079333;5.940833;115;Cap Cépet;Cap-Cepet;Var;saint-mandrier-sur-mer-cap-cepet;;1;Med
07690;NICE;43.648833;7.209000;2;Nice;Nice;Alpes Maritimes;nice-cote-d-azur;nice;1;Med
07747;PERPIGNAN;42.737167;2.872833;42;Perpignan;Perpignan;Pyrénéees-Orientales;perpignan-rivesaltes;perpi;1;Med
